WAAS Subset Event Id,Local Event Date,Aircraft,Aircraft Operator,Event Location,Crew Fatalities,Crew Injured,Crew Aboard,PAX Fatalities,PAX Injuries,PAX Aboard
J1992026,1992-06-06,BOEING 737-200 ADV.,COPA PANAMA,"NR. TOCUTI, PA",7,0,7,40,0,40
J1992031,1992-07-31,AIRBUS A310-300,THAI INTERNATIONAL,"MOUNT TALAKU SHIR, NR. KATHMANDU, NP",14,0,14,99,0,99
J1992036,1992-09-28,AIRBUS A300 B4-200,PAKISTAN INTERNATIONAL AIRLINES,"NR. TRIBHUVAN INTL. AP.,  KATHMANDU, NP",12,0,12,155,0,155
J1992049,1992-11-24,BOEING 737-300,CHINA SOUTHERN AIRLINES,"NR. GUILIN, CN",8,0,8,133,0,133
J1992055,1992-12-21,DOUGLAS DC-10-30CF,MARTINAIR HOLLAND,"FARO AP.,  FARO, PT",2,2,13,54,104,327
J1992056,1992-12-22,BOEING 727-200 ADV.,LIBYAN ARAB AIRLINES,"NR. TRIPOLI, LY",10,0,10,147,0,147
J1993004,1993-03-05,FOKKER 100,PALAIR MACEDONIAN,"PETROVAC AP.,  SKOPJE, MK",4,0,5,79,13,92
J1993011,1993-04-06,DOUGLAS MD-11,CHINA EASTERN AIRLINES,"IN FLIGHT OFF SHEMYA,  ALEUTIAN ISLANDS,  ALASKA, US",0,1,16,2,14,248
J1993014,1993-04-26,BOEING 737-200 ADV.,INDIAN AIRLINES,"CHIKKALTHANA AP.,  AURANGABAD, IN",4,0,6,52,15,112
J1993017,1993-05-19,BOEING 727-100,SAM COLOMBIA,"MT PARAMO FRONTINO, NR. MEDELLIN, CO",7,0,7,125,0,125
J1993023,1993-07-01,FOKKER F.28-3000,MERPATI NUSANTARA AIRLINES,"NR. JEFMAN AP.,  SORONG,  IRIAN JAYA, ID",4,0,4,37,2,39
J1993028,1993-07-23,"BRITISH AEROSPACE 
146-300",CHINA NORTHWEST AIRLINES,"YINCHUAN AP.,  YINCHUAN, CN",1,2,5,54,14,108
J1993030,1993-07-26,BOEING 737-500,ASIANA AIRLINES,"NR. MOKPO, KR",4,2,6,64,24,104
J1993042,1993-09-14,AIRBUS A320-210,LUFTHANSA,"OKECIE AP.,  WARSAW, PL",1,1,6,1,8,64
J1993044,1993-10-26,DOUGLAS MD-82,CHINA EASTERN AIRLINES,"FUZHOU AP.,  FUZHOU,  FUJIAN PROVINCE, CN",0,1,9,2,12,71
J1993048,1993-11-13,DOUGLAS MD-82,CHINA NORTHERN AIRLINES,"URUMQI AP.,  URUMQI,  XINJIANG, CN",4,0,10,8,7,92
J1994007,1994-03-23,AIRBUS A310-300,AEROFLOT RUSSIAN INTERNATIONAL AIRLINES,"NR. MEZHDURECHENSK, 76KM E OF  NOVOKUZNETSK,  KEMEROSKOI, RU",12,0,12,63,0,63
J1994010,1994-04-26,AIRBUS A300-620R,CHINA AIRLINES,"KOMAKI AP.,  NAGOYA, JP",15,0,15,249,7,256
J1994018,1994-07-01,FOKKER F.28-6000,AIR MAURITANIE,"TIDJIKJA AP.,  TIDJIKJA, MR",4,0,4,76,9,89
